rssi_6,rssi_17,dis_6,dis_17
-37,-45,19,20
-37,-44,18,20
-37,-45,18,20
-38,-42,18,20
-39,-45,18,20
-39,-44,18,21
-38,-45,19,21
-37,-45,18,20
-39,-45,18,20
-38,-44,18,21
-37,-45,19,20
-37,-44,18,20
-37,-44,19,20
-38,-41,18,20
-36,-41,19,20
-35,-45,18,20
-35,-45,18,20
-34,-45,18,20
-36,-44,18,20
-37,-44,18,20
rssi_6,rssi_17,dis_6,dis_17
-39,-49,5,6
-38,-48,5,6
-39,-48,5,6
-40,-48,5,6
-41,-48,5,6
-40,-48,5,6
-40,-48,5,6
-35,-48,5,6
-38,-48,5,6
-39,-48,5,6
-41,-48,5,6
-40,-48,5,6
-39,-48,5,6
-38,-49,5,6
-41,-49,5,6
-41,-49,5,6
-38,-45,5,6
-41,-48,5,6
-38,-48,5,6
-34,-48,5,6
-39,-43,21,20
-43,-45,21,20
-45,-46,21,20
-43,-46,21,20
-44,-46,21,20
-43,-46,21,20
-41,-46,21,20
-44,-46,21,20
-43,-46,21,20
-40,-42,21,20
-42,-46,21,20
-45,-46,21,20
-39,-46,21,20
-43,-46,21,20
-42,-46,21,20
-44,-46,21,20
-45,-46,21,20
-41,-42,21,20
-39,-46,21,20
-45,-46,21,20
-51,-43,36,33
-49,-43,36,33
-51,-47,36,33
-49,-43,36,33
-51,-43,36,33
-49,-43,36,33
-53,-46,36,33
-50,-43,36,33
-50,-43,36,33
-49,-43,36,33
-52,-47,36,33
-53,-46,36,33
-51,-44,36,33
-52,-43,36,33
-54,-47,36,33
-52,-47,36,33
-51,-43,36,33
-54,-46,36,33
-51,-44,36,33
-56,-43,36,33
-50,-50,52,46
-48,-48,51,46
-54,-52,51,46
-50,-48,51,46
-54,-52,51,47
-53,-49,51,47
-55,-52,51,47
-53,-52,51,47
-52,-52,51,46
-50,-52,51,47
-52,-52,52,47
-51,-51,52,47
-50,-49,51,47
-50,-50,51,47
-54,-53,52,47
-51,-49,52,46
-53,-50,52,46
-50,-50,52,47
-53,-54,51,47
-53,-53,52,47
-44,-51,66,59
-46,-55,66,59
-43,-51,66,59
-45,-52,67,59
-45,-51,67,59
-46,-51,67,59
-48,-55,67,59
-48,-55,67,59
-48,-56,66,59
-49,-56,66,59
-45,-51,66,59
-45,-51,67,59
-44,-51,66,59
-43,-51,66,59
-48,-55,67,59
-48,-55,66,59
-45,-56,66,59
-45,-55,66,59
-48,-51,66,59
-48,-55,66,59
-46,-50,82,73
-43,-50,82,73
-42,-46,83,73
-47,-49,83,73
-44,-49,82,73
-47,-49,83,73
-47,-47,82,73
-44,-49,82,72
-44,-50,82,72
-44,-49,82,73
-45,-49,82,73
-43,-49,82,72
-46,-49,84,73
-43,-46,82,73
-44,-47,83,73
-42,-48,84,72
-48,-50,83,73
-47,-49,82,72
-46,-50,82,73
-45,-49,83,72
-48,-54,99,87
-45,-51,100,88
-47,-52,99,87
-42,-52,99,87
-46,-55,100,88
-42,-51,99,87
-42,-52,99,88
-42,-52,98,87
-40,-51,98,87
-40,-52,99,87
-40,-56,99,87
-42,-51,99,87
-40,-51,99,88
-40,-52,98,88
-43,-51,99,88
-41,-51,99,87
-42,-51,98,88
-40,-55,98,88
-42,-54,99,87
-42,-51,99,87
-38,-51,114,101
-40,-53,111,102
-37,-52,115,102
-38,-52,115,101
-39,-53,115,101
-43,-54,115,101
-39,-53,116,101
-40,-56,115,101
-40,-53,115,101
-39,-52,111,101
-41,-57,116,102
-40,-56,115,102
-40,-56,112,102
-40,-56,111,102
-42,-52,112,102
-41,-52,114,101
-39,-56,111,102
-40,-52,114,102
-41,-57,115,101
-40,-52,110,102
-45,-45,114,115
-43,-45,116,116
-44,-45,114,114
-42,-46,114,115
-43,-45,113,115
-42,-48,113,116
-44,-46,118,115
-44,-45,112,115
-42,-45,117,114
-45,-46,116,115
-42,-46,113,115
-42,-45,114,115
-44,-46,114,115
-44,-49,113,114
-45,-45,112,114
-45,-46,113,115
-45,-45,115,115
-44,-45,114,114
-42,-46,115,115
-44,-45,114,115
-42,-50,117,107
-42,-50,116,107
-43,-47,115,106
-42,-48,118,106
-44,-48,116,106
-41,-48,115,107
-44,-50,115,106
-42,-48,116,107
-41,-47,117,107
-45,-47,117,107
-40,-50,120,107
-43,-47,116,106
-41,-47,116,106
-42,-48,116,106
-41,-48,116,106
-42,-49,118,107
-42,-48,116,107
-40,-47,117,107
-42,-50,117,108
-42,-47,117,107
-46,-50,107,98
-45,-49,109,99
-46,-50,109,98
-47,-49,109,98
-46,-50,109,99
-45,-49,107,99
-45,-49,112,100
-45,-49,106,99
-46,-49,107,99
-47,-49,110,99
-46,-49,108,99
-46,-49,107,99
-46,-50,106,99
-45,-48,109,98
-48,-50,111,98
-47,-49,109,98
-46,-52,110,99
-46,-48,108,99
-48,-49,109,98
-47,-49,109,98
-41,-49,98,90
-40,-49,100,89
-42,-49,100,90
-41,-49,99,90
-42,-50,99,89
-41,-49,99,90
-41,-49,99,90
-42,-50,98,90
-42,-49,99,90
-42,-49,98,90
-42,-49,99,90
-41,-49,98,89
-44,-49,98,90
-41,-49,98,90
-42,-49,99,89
-44,-52,99,90
-42,-49,99,89
-43,-49,98,90
-42,-53,98,89
-46,-49,97,90
-44,-50,90,81
-41,-50,90,81
-44,-50,89,81
-43,-50,89,81
-40,-50,89,81
-42,-49,89,81
-44,-49,89,81
-42,-49,89,81
-44,-50,90,82
-42,-49,90,81
-43,-50,90,81
-41,-49,89,81
-44,-50,89,81
-46,-54,89,81
-41,-50,88,81
-44,-50,89,81
-44,-50,89,81
-42,-50,90,81
-43,-50,90,81
-43,-50,90,81
-43,-48,79,72
-43,-47,78,73
-47,-50,79,72
-42,-47,79,72
-46,-50,79,72
-44,-48,79,72
-44,-48,79,73
-43,-48,79,72
-42,-50,80,72
-43,-50,79,72
-44,-48,78,72
-46,-47,79,72
-42,-48,79,72
-44,-50,79,72
-44,-50,79,72
-44,-48,79,72
-46,-47,80,72
-43,-49,79,72
-43,-47,79,72
-44,-49,79,72
-42,-52,69,64
-44,-53,68,64
-43,-53,68,64
-43,-53,68,64
-43,-52,68,64
-44,-54,68,64
-44,-54,68,64
-44,-52,68,64
-43,-54,68,64
-42,-53,69,64
-43,-52,69,64
-45,-53,68,64
-43,-53,69,64
-44,-53,69,64
-45,-53,68,64
-43,-52,69,64
-43,-52,69,64
-44,-53,69,64
-42,-53,70,64
-44,-52,68,64
-49,-58,58,55
-48,-58,59,55
-50,-59,58,55
-47,-58,58,55
-49,-56,59,55
-48,-58,59,55
-49,-57,58,55
-48,-57,58,55
-48,-58,59,55
-49,-57,58,55
-52,-61,58,55
-48,-57,58,55
-52,-60,58,55
-50,-61,58,55
-51,-62,58,55
-54,-61,58,55
-49,-58,59,55
-50,-61,58,55
-49,-62,59,55
-49,-58,58,55
rssi_6,rssi_17,dis_6,dis_17
-59,-49,50,48
-59,-49,49,48
-58,-49,50,48
-59,-49,49,48
-57,-49,50,48
-57,-49,49,48
-58,-49,50,48
-58,-49,50,48
-57,-49,49,48
-59,-50,50,48
-61,-50,49,48
-60,-49,50,48
-59,-49,50,48
-58,-49,50,48
-69,-49,50,48
-55,-49,49,48
-56,-53,50,48
-59,-50,50,48
-59,-50,50,48
-58,-49,50,48
-47,-51,63,60
-47,-50,63,60
-47,-51,64,60
-45,-50,64,60
-46,-51,64,60
-47,-51,64,60
-48,-51,64,60
-46,-51,64,60
-47,-51,63,60
-49,-55,64,60
-49,-55,64,60
-49,-55,64,59
-44,-50,64,60
-49,-55,64,60
-50,-55,63,60
-47,-51,63,60
-49,-54,64,60
-48,-51,63,60
-51,-55,64,60
-48,-51,64,60
-47,-49,80,73
-45,-49,79,74
-47,-49,79,74
-48,-48,79,74
-47,-49,79,73
-47,-48,80,73
-46,-49,80,74
-44,-49,80,73
-46,-48,79,74
-41,-46,79,74
-43,-46,79,74
-45,-47,79,73
-45,-49,79,73
-45,-48,80,73
-47,-48,80,73
-48,-47,79,74
-43,-47,80,73
-43,-47,80,73
-46,-50,80,73
-47,-49,80,73
-42,-57,96,88
-39,-54,96,87
-45,-57,96,87
-44,-57,96,87
-44,-57,96,87
-42,-54,96,86
-45,-57,96,88
-41,-54,97,88
-39,-54,97,88
-43,-57,96,87
-45,-58,96,88
-44,-56,96,87
-40,-56,96,87
-44,-57,95,87
-43,-53,95,87
-41,-54,96,87
-42,-57,97,87
-42,-57,95,87
-44,-57,96,87
-43,-57,96,87
-47,-55,110,100
-47,-55,111,101
-42,-55,108,100
-45,-55,111,100
-47,-55,108,101
-48,-55,109,101
-43,-55,109,101
-44,-54,108,101
-46,-55,110,100
-44,-50,108,101
-46,-51,111,100
-46,-55,110,101
-44,-55,109,101
-47,-55,110,101
-45,-55,109,100
-48,-50,111,101
-46,-51,111,102
-46,-54,110,101
-47,-54,109,102
-47,-50,112,101
-46,-49,121,114
-40,-46,122,114
-43,-46,114,114
-48,-49,113,114
-40,-46,113,115
-43,-45,113,114
-42,-49,113,114
-46,-48,113,115
-46,-48,113,114
-46,-49,114,115
-45,-48,120,114
-45,-49,113,115
-47,-49,113,115
-47,-49,112,115
-45,-49,108,115
-44,-46,112,114
-43,-46,113,115
-40,-49,120,114
-42,-46,113,115
-47,-48,113,114
-44,-51,134,128
-45,-51,135,128
-40,-48,134,128
-47,-51,134,128
-43,-51,134,127
-47,-51,134,128
-44,-52,122,127
-46,-52,134,127
-44,-52,120,127
-44,-52,134,127
-46,-52,133,127
-44,-53,134,127
-42,-53,133,127
-47,-52,135,127
-46,-52,133,127
-44,-52,133,127
-43,-49,135,127
-43,-49,134,127
-43,-49,120,128
-42,-49,134,127
-47,-47,135,140
-47,-47,134,141
-48,-47,136,140
-45,-49,136,141
-47,-49,135,141
-46,-47,136,141
-47,-47,137,140
-48,-47,136,140
-46,-47,136,140
-46,-47,136,140
-46,-48,136,141
-46,-47,135,140
-49,-49,138,140
-47,-48,136,140
-46,-49,135,141
-49,-49,134,140
-48,-49,134,141
-47,-47,136,141
-44,-47,136,140
-46,-47,135,139
-49,-50,162,154
-49,-49,155,154
-49,-49,162,154
-49,-49,155,153
-49,-49,104,154
-48,-49,102,155
-48,-50,156,154
-47,-49,156,153
-48,-49,163,155
-49,-49,163,154
-50,-49,162,155
-49,-49,155,155
-49,-49,104,154
-50,-50,162,154
-49,-50,162,153
-49,-49,162,153
-50,-49,162,154
-48,-50,162,153
-48,-49,157,154
-48,-49,107,154
-40,-47,142,145
-42,-47,143,146
-44,-49,142,146
-47,-49,152,145
-47,-49,143,146
-47,-49,141,146
-43,-47,154,145
-47,-48,152,145
-47,-49,153,146
-47,-48,142,145
-44,-47,152,146
-44,-48,152,145
-46,-49,153,145
-43,-47,142,145
-43,-46,142,146
-44,-48,152,145
-45,-49,142,145
-46,-49,141,146
-43,-48,152,145
-44,-49,153,145
-50,-47,144,136
-50,-47,143,136
-53,-50,143,137
-51,-47,144,138
-50,-47,143,136
-49,-47,143,138
-48,-47,143,137
-48,-47,143,137
-48,-47,143,137
-49,-46,143,137
-45,-47,143,137
-48,-47,143,137
-48,-47,144,137
-49,-46,143,137
-50,-47,143,137
-49,-47,142,137
-49,-47,143,137
-49,-47,143,136
-49,-49,142,137
-52,-48,143,137
-46,-53,134,128
-46,-54,134,128
-47,-53,133,128
-42,-53,134,128
-46,-54,134,128
-45,-54,134,129
-45,-54,134,128
-43,-49,133,128
-42,-50,134,128
-42,-54,134,128
-40,-50,134,128
-44,-50,134,128
-42,-50,133,129
-43,-50,134,128
-44,-54,134,128
-47,-53,134,129
-43,-53,134,128
-42,-50,134,128
-42,-50,134,128
-43,-50,134,128
-42,-46,117,120
-42,-46,116,120
-46,-50,116,120
-46,-49,118,119
-45,-49,118,120
-44,-50,116,120
-47,-49,114,120
-47,-49,114,120
-44,-50,117,120
-45,-47,117,120
-47,-49,117,120
-47,-49,115,120
-44,-48,116,120
-45,-49,117,120
-46,-50,115,120
-48,-49,114,120
-47,-49,116,120
-46,-49,117,120
-45,-49,125,120
-44,-47,116,120
-46,-49,117,112
-44,-48,117,112
-46,-48,116,112
-46,-49,117,112
-44,-49,117,111
-43,-45,118,112
-43,-46,117,113
-44,-48,116,112
-45,-48,116,112
-44,-49,118,112
-46,-49,117,111
-46,-49,116,111
-45,-49,115,112
-45,-49,116,112
-47,-48,115,111
-46,-49,115,112
-44,-48,117,112
-39,-45,118,111
-45,-49,116,111
-43,-48,118,112
-42,-53,108,103
-48,-55,111,104
-45,-50,112,104
-46,-53,109,104
-50,-54,108,103
-48,-53,111,104
-49,-54,112,104
-50,-54,109,104
-43,-50,110,104
-45,-54,111,104
-45,-53,110,104
-47,-54,110,104
-45,-53,111,105
-48,-54,111,104
-45,-50,110,104
-46,-50,110,104
-46,-50,111,105
-46,-50,111,104
-49,-53,109,104
-48,-53,111,104
-47,-57,102,96
-47,-57,102,97
-44,-57,102,97
-44,-57,101,96
-43,-54,102,96
-43,-54,102,96
-46,-57,101,96
-43,-57,100,96
-44,-54,102,96
-44,-57,101,96
-44,-54,102,96
-41,-54,103,96
-47,-57,101,97
-43,-57,102,97
-43,-54,101,96
-43,-54,102,96
-45,-53,102,96
-43,-54,100,96
-44,-57,100,97
-45,-57,101,97
rssi_6,rssi_17,dis_6,dis_17
-44,-58,90,86
-46,-55,90,86
-43,-55,92,87
-43,-55,91,87
-47,-58,90,86
-43,-59,90,87
-46,-58,90,86
-44,-58,91,87
-42,-55,90,87
-40,-55,90,86
-45,-58,91,87
-42,-55,90,89
-45,-55,91,86
-42,-55,91,86
-44,-59,91,86
-43,-55,91,87
-43,-55,91,87
-46,-58,91,87
-42,-55,91,87
-41,-55,90,86
-46,-54,104,101
-41,-53,103,100
-40,-55,104,100
-43,-53,103,99
-42,-50,106,100
-41,-50,103,101
-45,-54,103,100
-46,-53,104,100
-45,-55,106,100
-45,-49,105,100
-42,-52,103,100
-42,-50,106,100
-46,-52,104,100
-42,-52,104,100
-42,-50,105,100
-41,-49,103,100
-44,-49,104,99
-44,-52,103,100
-47,-54,105,100
-46,-49,105,100
-46,-49,120,112
-45,-49,116,111
-44,-49,118,111
-46,-48,120,112
-43,-49,118,112
-47,-49,119,112
-46,-49,118,112
-43,-49,118,112
-45,-49,117,111
-45,-49,117,112
-48,-49,116,111
-47,-49,118,112
-46,-49,117,112
-45,-48,117,111
-45,-49,121,111
-44,-45,116,112
-42,-46,117,112
-46,-49,116,112
-42,-45,116,112
-40,-45,116,111
-43,-49,121,125
-43,-49,121,125
-40,-49,120,125
-40,-49,129,125
-44,-49,128,125
-42,-48,130,125
-43,-49,123,125
-41,-49,122,125
-45,-49,130,125
-41,-49,122,125
-43,-49,122,125
-47,-51,120,125
-47,-49,122,125
-47,-51,121,125
-43,-49,121,125
-43,-49,120,126
-47,-51,121,126
-44,-51,123,125
-47,-51,119,125
-44,-49,122,125
-51,-49,143,139
-48,-46,142,138
-48,-46,144,138
-49,-46,143,138
-53,-49,143,138
-52,-49,142,138
-54,-49,142,138
-50,-46,142,138
-53,-49,143,138
-52,-49,143,138
-51,-46,143,138
-49,-47,143,138
-53,-47,144,137
-49,-46,143,138
-50,-49,143,137
-50,-46,143,139
-50,-46,142,138
-50,-47,142,138
-50,-47,143,138
-52,-49,142,138
-43,-51,156,152
-46,-50,155,151
